Tempo mm. 1-4	Aria 1	Variation 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16a	16b	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Aria 2	
Pulse	quarter note	quarter note	quarter note	dotted quarter note	dotted quarter note	quarter note	dotted quarter note	dotted quarter note	quarter note	quarter note	half note	dotted quarter note	quarter note	quarter note	quarter note	quarter note	half note	dotted quarter note	quarter note	half note	eighth note	quarter note	quarter note	half note	quarter note	dotted quarter note	eighth note	quarter note	dotted quarter note	quarter note	quarter note	quarter note	quarter note	
Rudolf Serkin 1928	66.4	124.7	100.7	54.5	86.9	174.0	- - - 	- - - 	- - - 	70.3	107.6	203.8	84.2	58.6	122.6	35.6	46.2	90.2	138.2	113.8	201.5	131.8	54.0	134.0	128.7	52.6	47.3	109.4	91.7	100.9	107.8	89.0	58.3	Rudolf Serkin 1928
Landowska 1933	49.4	52.7	68.1	60.8	60.1	125.8	40.6	71.7	108.7	55.5	80.5	110.5	80.4	34.0	87.8	27.0	32.6	74.1	129.3	94.4	116.8	103.3	29.6	76.8	88.9	84.6	48.7	90.5	75.1	77.9	81.0	81.0	48.8	Landowska 1933
Norton 1942	61.8	111.5	71.0	57.2	61.2	171.3	43.4	71.9	124.2	69.0	81.5	182.0	73.2	38.9	78.6	27.3	33.3	44.8	122.3	76.1	143.5	125.1	51.4	105.1	117.8	82.7	53.2	117.2	60.5	95.0	98.8	81.1	61.8	Norton 1942
Arrau 1942	49.6	109.1	85.3	67.2	59.0	121.5	43.5	82.4	108.5	64.0	91.3	145.6	57.1	39.7	93.3	32.8	34.1	65.3	100.3	108.2	181.0	101.9	46.4	104.2	100.2	61.7	47.8	104.2	67.6	84.7	93.5	76.1	50.5	Arrau 1942
Landowska 1945	45.4	60.0	69.2	56.7	59.0	121.4	37.9	69.7	99.0	52.9	81.0	105.0	74.7	33.7	90.3	26.6	31.0	62.2	114.9	92.7	107.6	87.2	25.4	79.3	85.4	74.1	47.4	84.0	69.7	70.4	78.8	79.3	44.0	Landowska 1945
Kirkpatrick 1952 	52.3	100.8	50.9	35.0	63.6	142.7	53.1	- - - 	90.5	59.6	67.6	160.6	75.8	39.8	87.5	30.4	28.5	62.1	120.8	68.4	141.3	96.6	56.3	61.3	105.7	54.6	48.1	90.0	76.8	91.4	97.9	71.1	50.3	Kirkpatrick 1952 
Demus 1953	41.6	98.0	59.6	50.2	56.5	121.7	30.8	63.3	104.2	49.5	70.0	136.3	56.8	39.9	84.5	22.6	28.0	75.3	99.1	89.9	98.2	99.8	37.4	91.4	92.7	55.8	56.6	90.2	75.2	71.3	85.3	75.8	39.1	Demus 1953
Ahlgrimm 1954	57.8	107.8	61.5	47.5	56.1	152.2	42.5	57.1	96.2	59.5	85.4	147.0	57.8	33.8	79.7	34.0	31.4	65.1	106.3	84.1	136.7	96.4	44.7	85.4	93.3	52.1	63.1	91.6	63.9	79.8	105.8	75.9	59.3	Ahlgrimm 1954
Gould 1954	47.4	106.7	88.1	53.0	60.4	155.6	47.0	49.6	128.0	76.6	81.6	153.8	82.0	41.6	103.9	28.0	29.7	58.3	113.7	110.6	163.6	115.0	56.0	96.4	110.3	93.0	46.2	109.0	83.7	95.7	109.3	67.6	40.2	Gould 1954
Gould 1955	66.2	135.5	108.3	72.3	68.6	176.4	65.4	63.9	140.8	102.5	99.1	154.3	113.2	51.4	110.9	32.1	40.2	83.8	119.0	92.1	145.9	143.9	42.6	99.5	110.5	106.9	35.0	114.3	83.3	92.6	106.1	91.8	62.3	Gould 1955
Richter 1956	54.2	76.7	67.7	52.8	56.2	98.0	43.0	64.7	76.0	67.4	87.0	107.4	64.5	55.4	79.5	28.0	36.7	48.7	78.9	80.7	110.5	86.1	46.1	91.9	77.8	58.7	51.3	71.1	66.2	72.4	83.1	72.7	53.9	Richter 1956
Silver 1957	42.4	80.4	56.2	65.6	57.7	123.2	33.9	71.5	100.8	51.6	62.0	134.6	48.8	31.2	90.9	27.0	30.6	67.1	107.9	101.5	148.0	98.8	44.0	92.6	95.8	72.5	58.3	89.0	75.2	78.2	87.2	67.1	47.3	Silver 1957
Tureck 1957	33.6	73.2	47.7	51.7	39.9	100.0	30.7	58.9	96.5	49.9	60.2	110.2	43.9	52.8	85.8	24.8	29.5	58.8	98.3	72.0	125.0	91.0	34.2	64.9	81.6	51.3	43.0	78.8	52.7	71.2	85.0	64.4	31.7	Tureck 1957
Gould 1958	59.0	126.1	98.9	64.4	61.0	176.9	77.0	61.0	117.9	88.8	89.5	147.6	106.1	59.9	104.0	29.7	40.3	85.6	112.1	87.0	131.7	119.6	56.0	85.1	108.3	98.9	44.7	109.5	75.7	93.0	107.1	87.0	57.3	Gould 1958
Kirkpatrick 1958 	53.6	98.3	55.3	34.3	62.9	137.8	46.2	54.2	90.3	61.6	80.2	160.0	77.4	40.8	88.9	30.8	31.1	59.3	127.1	74.9	158.1	102.3	66.5	76.0	104.7	60.9	49.6	92.0	74.0	91.2	95.0	77.6	50.8	Kirkpatrick 1958 
Gould 1959	58.6	123.6	82.4	57.5	61.2	150.1	68.4	54.8	121.3	92.3	95.9	131.4	103.8	55.8	102.1	29.1	37.6	83.1	110.0	94.9	129.4	117.9	49.3	89.6	102.7	96.6	47.4	109.5	74.9	97.4	101.7	79.5	55.2	Gould 1959
Sultan 1959	51.4	107.5	69.7	56.1	68.4	129.2	40.9	63.8	112.6	57.7	72.4	151.1	63.3	53.0	100.1	29.7	31.7	68.3	111.9	75.9	142.0	112.3	48.9	106.6	97.8	76.3	47.0	95.6	69.7	78.2	91.5	86.3	46.4	Sultan 1959
Marlowe 1962	41.5	75.1	71.2	48.3	50.8	118.9	40.3	52.0	95.2	44.4	72.7	120.9	70.1	30.9	81.5	23.2	28.2	60.1	102.7	86.0	98.3	83.8	29.7	77.9	83.2	59.5	37.6	83.9	63.0	77.8	79.6	80.2	40.3	Marlowe 1962
Gát 1963 	49.5	109.0	61.8	42.9	43.8	137.7	58.2	65.5	114.7	63.3	87.4	156.6	66.6	38.1	87.1	37.5	28.7	62.1	110.5	102.9	156.1	99.0	43.0	91.2	89.7	64.7	64.6	103.8	72.5	93.2	101.1	82.1	57.6	Gát 1963 
Leonhardt 1965	46.4	65.4	72.8	62.8	60.2	99.9	38.8	66.8	72.8	61.2	77.2	97.8	56.2	37.5	76.0	25.9	30.7	63.5	94.5	89.5	112.2	88.5	31.2	89.3	75.7	59.4	45.5	88.9	59.5	66.3	79.9	65.2	43.5	Leonhardt 1965
Picht-Axenfeld 1966	46.5	90.2	71.6	45.7	48.4	102.9	36.7	65.4	91.9	62.1	77.7	121.4	63.9	38.6	80.8	31.2	32.0	64.3	90.1	80.8	137.3	86.4	48.8	79.1	83.9	64.7	49.0	76.4	59.2	76.7	78.2	67.6	46.4	Picht-Axenfeld 1966
Rosen 1967	51.3	106.3	80.6	43.0	51.6	129.8	52.8	65.2	95.9	59.6	80.5	160.9	59.3	50.4	94.3	33.5	27.2	65.4	114.5	82.7	169.3	103.6	52.5	87.0	97.2	54.9	51.1	115.7	67.8	102.1	96.9	74.0	46.1	Rosen 1967
Kempff 1969	80.2	93.9	90.3	53.9	65.3	114.5	56.3	54.4	87.9	70.5	84.9	140.7	50.1	54.6	83.4	29.0	31.5	63.9	83.2	96.1	155.8	80.0	42.3	97.4	85.7	60.6	62.4	81.2	75.3	79.7	81.8	65.9	81.9	Kempff 1969
Richter 1970	51.6	103.8	90.0	56.2	57.1	136.0	47.0	51.9	93.6	72.4	79.6	105.0	81.7	42.7	84.3	25.9	32.7	71.3	101.2	74.6	99.1	109.6	29.9	74.1	77.3	85.8	31.4	87.6	63.4	73.4	71.8	64.6	56.7	Richter 1970
Newman 1971	57.9	85.4	75.1	56.8	56.0	106.5	47.4	62.7	84.1	68.8	84.3	119.1	70.8	64.9	87.7	30.3	34.2	58.6	85.8	85.5	125.6	96.2	52.3	87.6	82.4	68.2	56.8	79.1	70.6	78.6	86.9	82.3	61.5	Newman 1971
Hayden 1976	55.8	132.7	103.4	69.3	76.2	169.6	51.1	86.4	120.6	70.6	101.8	142.3	93.7	53.3	98.1	31.6	41.1	75.6	118.3	118.6	156.6	114.4	47.9	104.6	92.7	92.8	62.4	96.5	89.4	92.1	105.3	95.3	58.8	Hayden 1976
