Tempo mm. 5-8	Aria 1	Variation 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16a	16b	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Aria 2	
Pulse	quarter note	quarter note	quarter note	dotted quarter note	dotted quarter note	quarter note	dotted quarter note	dotted quarter note	quarter note	quarter note	half note	dotted quarter note	quarter note	quarter note	quarter note	quarter note	half note	dotted quarter note	quarter note	half note	eighth note	quarter note	quarter note	half note	quarter note	dotted quarter note	eighth note	quarter note	dotted quarter note	quarter note	quarter note	quarter note	quarter note	
Rudolf Serkin 1928	71.7	128.9	106.1	59.7	95.2	182.8	- - - 	- - - 	- - - 	77.0	114.6	200.0	82.5	57.2	131.0	39.3	43.5	94.0	136.4	118.0	215.8	131.9	58.1	138.2	127.7	51.9	53.9	104.5	92.2	105.0	111.8	93.0	61.8	Rudolf Serkin 1928
Landowska 1933	47.5	54.9	75.2	65.7	64.1	136.1	42.5	74.0	113.7	59.5	84.4	122.9	84.6	36.2	90.0	25.8	32.9	77.3	130.9	104.3	127.7	106.0	33.3	84.7	91.3	90.8	53.0	91.6	82.6	78.8	80.8	84.7	46.8	Landowska 1933
Norton 1942	59.1	123.5	75.3	59.8	63.2	173.6	43.8	77.2	134.2	69.4	83.1	185.6	71.0	38.7	91.1	26.6	31.8	47.6	123.7	77.6	154.2	133.4	53.0	109.6	115.3	80.7	52.3	112.0	61.9	92.3	98.3	80.2	59.0	Norton 1942
Arrau 1942	43.9	114.5	90.9	70.0	62.2	126.4	43.0	83.6	110.5	63.0	99.1	149.5	55.7	37.4	98.2	30.9	33.4	72.8	102.2	114.0	190.6	101.8	45.0	107.6	104.7	62.6	46.3	95.7	70.9	81.2	93.7	80.0	46.3	Arrau 1942
Landowska 1945	44.2	64.3	73.7	60.4	61.2	127.2	41.3	70.5	103.2	56.4	82.3	115.3	79.1	36.5	92.6	25.2	31.8	76.2	114.6	98.7	112.6	91.2	28.9	87.5	88.8	77.9	50.4	86.3	72.8	71.8	79.0	81.4	42.9	Landowska 1945
Kirkpatrick 1952 	52.2	99.1	50.7	35.8	62.5	143.4	53.1	- - - 	90.5	58.3	69.0	155.2	73.5	38.9	85.3	30.3	28.5	63.4	121.0	66.3	139.9	96.6	56.9	58.1	106.5	55.0	48.7	89.5	78.8	85.0	95.8	70.1	50.6	Kirkpatrick 1952 
Demus 1953	39.8	98.7	61.1	49.4	56.7	127.1	30.8	64.5	105.7	49.8	71.2	133.5	55.6	38.8	89.5	22.4	26.7	75.1	98.3	91.0	100.7	100.0	39.0	93.9	95.0	54.8	53.8	91.6	72.5	69.3	84.9	74.3	38.2	Demus 1953
Ahlgrimm 1954	55.6	110.5	64.2	47.1	58.4	149.8	43.1	56.4	96.2	59.0	84.7	144.4	59.8	33.0	80.2	33.0	31.8	69.9	105.0	83.1	140.3	95.6	45.1	85.8	92.6	52.4	64.2	92.8	65.1	80.5	104.8	76.7	55.6	Ahlgrimm 1954
Gould 1954	37.6	112.4	95.3	54.8	61.3	162.2	45.5	55.1	129.8	76.9	85.0	157.7	79.7	36.4	100.9	27.0	27.2	73.2	115.7	113.9	171.8	116.1	57.2	99.6	113.6	94.8	46.4	111.4	89.4	96.5	109.3	65.4	35.5	Gould 1954
